gameID	shooterID	assisterID	minute	situation	lastAction	shotType	shotResult	xGoal	positionX	positionY	modifiedDate
88	502	965	64	SetPiece	Aerial	Head	SavedShot	0.060720295	0.92	0.520999985	
88	503	965	70	OpenPlay	Pass	RightFoot	BlockedShot	0.016688475	0.799000015	0.252000008	
88	498	965	72	OpenPlay	Pass	RightFoot	BlockedShot	0.023816515	0.871999969	0.770999985	
88	503	NA	80	OpenPlay	Dispossessed	RightFoot	BlockedShot	0.085158445	0.888000031	0.462999992	
88	966	504	80	OpenPlay	Pass	RightFoot	MissedShots	0.038002502	0.849000015	0.295	
88	965	NA	84	OpenPlay	Aerial	LeftFoot	SavedShot	0.013668136	0.793000031	0.59	
88	502	966	88	OpenPlay	Cross	RightFoot	MissedShots	0.276022255	0.943000031	0.412999992	
88	498	499	92	OpenPlay	Pass	RightFoot	SavedShot	0.118262589	0.88	0.627000008	
88	498	499	94	OpenPlay	Pass	RightFoot	SavedShot	0.07591287	0.899000015	0.664000015	
88	534	939	17	OpenPlay	Pass	LeftFoot	BlockedShot	0.019972501	0.770999985	0.681999969	
88	656	534	28	OpenPlay	BallRecovery	RightFoot	MissedShots	0.022996914	0.843000031	0.750999985	
88	536	532	35	OpenPlay	TakeOn	RightFoot	BlockedShot	0.022079172	0.765	0.432999992	
88	939	536	35	FromCorner	Pass	RightFoot	MissedShots	0.040605534	0.845	0.372999992	
88	532	536	42	SetPiece	Chipped	Head	Goal	0.297060966	0.915999985	0.482000008	
88	939	NA	56	OpenPlay	None	RightFoot	Goal	0.021469923	0.759000015	0.674000015	
88	656	532	80	OpenPlay	Pass	RightFoot	SavedShot	0.082506835	0.916999969	0.345	
88	1029	530	89	OpenPlay	TakeOn	LeftFoot	SavedShot	0.029268986	0.725999985	0.505999985	
89	873	NA	7	OpenPlay	None	LeftFoot	MissedShots	0.077142701	0.865	0.46	
89	868	863	17	OpenPlay	HeadPass	LeftFoot	SavedShot	0.016048167	0.751999969	0.622999992	
89	864	NA	35	OpenPlay	None	LeftFoot	BlockedShot	0.065000139	0.891999969	0.643000031	
89	944	NA	35	OpenPlay	Rebound	LeftFoot	MissedShots	0.110270232	0.889000015	0.527999992	
89	873	868	44	OpenPlay	Pass	LeftFoot	MissedShots	0.020544849	0.760999985	0.579000015	
89	946	863	45	OpenPlay	Pass	LeftFoot	MissedShots	0.010778586	0.761999969	0.207000008	
89	946	863	79	OpenPlay	Pass	LeftFoot	BlockedShot	0.088657282	0.86	0.419000015	
89	486	NA	18	OpenPlay	None	RightFoot	BlockedShot	0.020306408	0.765	0.617000008	
89	488	NA	20	OpenPlay	BallRecovery	RightFoot	BlockedShot	0.020529028	0.751999969	0.59	
89	481	603	30	OpenPlay	Pass	RightFoot	BlockedShot	0.028104724	0.865999985	0.248999996	
89	602	607	62	SetPiece	Pass	LeftFoot	SavedShot	0.0319595	0.906999969	0.74	
89	606	488	66	OpenPlay	Pass	RightFoot	BlockedShot	0.116688713	0.899000015	0.575	
89	607	489	67	FromCorner	Cross	Head	SavedShot	0.087718643	0.913000031	0.490999985	
89	488	NA	76	OpenPlay	None	RightFoot	MissedShots	0.010916795	0.701999969	0.475999985	
89	488	987	85	OpenPlay	TakeOn	RightFoot	Goal	0.013649341	0.726999969	0.535999985	
90	816	NA	27	DirectFreekick	Standard	RightFoot	MissedShots	0.037923936	0.700999985	0.46	
90	816	NA	48	DirectFreekick	Standard	RightFoot	MissedShots	0.052051526	0.730999985	0.477999992	
90	804	812	66	FromCorner	Cross	Head	BlockedShot	0.132234931	0.953000031	0.495999985	
90	812	816	68	OpenPlay	HeadPass	RightFoot	MissedShots	0.013520076	0.739000015	0.442999992	
90	812	NA	74	OpenPlay	BallRecovery	RightFoot	MissedShots	0.010905947	0.726999969	0.342000008	
90	990	904	76	OpenPlay	Cross	Head	SavedShot	0.056207173	0.908000031	0.569000015	
90	990	880	81	OpenPlay	Cross	LeftFoot	MissedShots	0.026802026	0.885999985	0.332000008	
90	904	818	82	OpenPlay	Pass	RightFoot	MissedShots	0.08945819	0.936999969	0.658000031	
90	818	809	86	OpenPlay	TakeOn	LeftFoot	SavedShot	0.016134221	0.749000015	0.629000015	
90	617	625	3	OpenPlay	Pass	LeftFoot	BlockedShot	0.027680103	0.764000015	0.449000015	
90	617	621	8	OpenPlay	Cross	LeftFoot	MissedShots	0.030899208	0.924000015	0.701999969	
90	878	616	8	OpenPlay	Interception	RightFoot	BlockedShot	0.024923528	0.815	0.329000015	
90	617	878	8	OpenPlay	Rebound	RightFoot	Goal	0.105547771	0.891999969	0.447000008	
90	616	617	10	OpenPlay	Pass	LeftFoot	BlockedShot	0.026342073	0.769000015	0.32	
90	622	NA	10	OpenPlay	Rebound	RightFoot	BlockedShot	0.029227613	0.78	0.415	
90	622	NA	19	OpenPlay	None	RightFoot	BlockedShot	0.11289981	0.888000031	0.454000015	
90	878	622	23	OpenPlay	Pass	RightFoot	Goal	0.064967096	0.810999985	0.497000008	
90	622	621	30	OpenPlay	Pass	LeftFoot	BlockedShot	0.078022614	0.823000031	0.559000015	
90	618	614	40	OpenPlay	BallRecovery	RightFoot	SavedShot	0.25537613	0.91	0.569000015	
90	618	3895	40	OpenPlay	BallRecovery	RightFoot	SavedShot	0.25537613	0.91	0.569000015	
90	621	617	42	OpenPlay	Throughball	LeftFoot	BlockedShot	0.136864617	0.951999969	0.67	
90	616	878	43	OpenPlay	Pass	RightFoot	BlockedShot	0.057813808	0.865	0.281000004	
90	618	617	46	OpenPlay	Pass	RightFoot	SavedShot	0.102621332	0.955	0.649000015	
90	612	617	58	FromCorner	Aerial	Head	Goal	0.017916672	0.961999969	0.6	
90	621	NA	61	DirectFreekick	Standard	LeftFoot	MissedShots	0.040822446	0.719000015	0.382999992	
90	619	616	64	OpenPlay	Pass	RightFoot	BlockedShot	0.11643628	0.845999985	0.490999985	
90	877	619	87	OpenPlay	Pass	RightFoot	BlockedShot	0.08923541	0.816999969	0.539000015	
90	617	621	88	OpenPlay	Cross	LeftFoot	BlockedShot	0.106961511	0.875	0.580999985	
90	619	NA	88	OpenPlay	Rebound	LeftFoot	SavedShot	0.513756514	0.920999985	0.562999992	
90	621	NA	91	DirectFreekick	Standard	LeftFoot	SavedShot	0.044237576	0.783000031	0.760999985	
91	665	669	37	FromCorner	Cross	Head	MissedShots	0.05489229	0.905	0.442999992	
91	672	NA	47	OpenPlay	BallRecovery	RightFoot	MissedShots	0.031616874	0.785999985	0.545999985	
91	890	669	54	FromCorner	Cross	Head	SavedShot	0.052019592	0.909000015	0.429000015	
91	668	890	56	OpenPlay	Pass	RightFoot	BlockedShot	0.065298036	0.858000031	0.379000015	
91	671	669	74	OpenPlay	Aerial	Head	MissedShots	0.015291361	0.888000031	0.392000008	
91	551	555	15	SetPiece	Cross	Head	MissedShots	0.044353921	0.954000015	0.382000008	
91	555	629	21	OpenPlay	Chipped	RightFoot	BlockedShot	0.009359021	0.731999969	0.7	
91	555	629	22	OpenPlay	Chipped	RightFoot	BlockedShot	0.049579415	0.869000015	0.663000031	
91	555	323	26	OpenPlay	Chipped	Head	MissedShots	0.032064367	0.9	0.599000015	
91	323	554	28	OpenPlay	Throughball	RightFoot	Goal	0.120036691	0.945999985	0.649000015	
91	555	554	66	FromCorner	Pass	RightFoot	BlockedShot	0.02105573	0.858000031	0.805	
91	555	NA	68	DirectFreekick	Standard	RightFoot	MissedShots	0.032488346	0.724000015	0.73	
91	555	554	72	OpenPlay	Throughball	RightFoot	MissedShots	0.322295308	0.843000031	0.59	
91	555	552	77	OpenPlay	Pass	RightFoot	SavedShot	0.029170752	0.755999985	0.535999985	
92	841	840	4	OpenPlay	Cross	LeftFoot	MissedShots	0.05847818	0.874000015	0.602000008	
92	838	NA	11	OpenPlay	None	LeftFoot	MissedShots	0.062413145	0.981999969	0.639000015	
92	840	NA	13	OpenPlay	None	RightFoot	BlockedShot	0.103671648	0.913000031	0.440999985	
92	841	840	14	OpenPlay	Cross	Head	MissedShots	0.111109905	0.929000015	0.575	
92	884	839	15	OpenPlay	Pass	LeftFoot	SavedShot	0.012888757	0.773000031	0.763000031	
92	838	841	20	OpenPlay	Pass	LeftFoot	SavedShot	0.074191496	0.94	0.681999969	
92	836	883	34	FromCorner	Cross	Head	MissedShots	0.096187949	0.924000015	0.54	
92	836	883	46	FromCorner	Cross	Head	MissedShots	0.071430132	0.91	0.54	
92	841	842	47	OpenPlay	Pass	RightFoot	BlockedShot	0.110673994	0.873000031	0.492999992	
92	847	NA	47	OpenPlay	Rebound	RightFoot	BlockedShot	0.018986078	0.848000031	0.298999996	
92	841	NA	52	OpenPlay	None	LeftFoot	SavedShot	0.066269822	0.875999985	0.457999992	
